Modelo,Teste,Parâmetro,Valor
GPT 5 mini,Teste 2,Testes,15
GPT 5 mini,Teste 2,Erros Encontrados,4
GPT 5 mini,Teste 2,Testes Redundantes,3
GPT 5 mini,Teste 2,Testes Incorretos,0
GPT 5 mini,Teste 2,Quebras de Regras,0
GPT 5 mini,Teste 2,Testes,15
GPT 5 mini,Teste 2,Erros Encontrados,4
GPT 5 mini,Teste 2,Testes Redundantes,2
GPT 5 mini,Teste 2,Testes Incorretos,0
GPT 5 mini,Teste 2,Quebras de Regras,0
GPT 5 mini,Teste 3,Testes,12
GPT 5 mini,Teste 3,Erros Encontrados,4
GPT 5 mini,Teste 3,Testes Redundantes,4
GPT 5 mini,Teste 3,Testes Incorretos,0
GPT 5 mini,Teste 3,Quebras de Regras,7
GPT 5 mini,Teste 3,Testes,12
GPT 5 mini,Teste 3,Erros Encontrados,4
GPT 5 mini,Teste 3,Testes Redundantes,4
GPT 5 mini,Teste 3,Testes Incorretos,0
GPT 5 mini,Teste 3,Quebras de Regras,7
GPT 5 mini,Teste 3,Testes,12
GPT 5 mini,Teste 3,Erros Encontrados,4
GPT 5 mini,Teste 3,Testes Redundantes,4
GPT 5 mini,Teste 3,Testes Incorretos,0
GPT 5 mini,Teste 3,Quebras de Regras,7
GPT 5 mini,Teste 3,Testes,13
GPT 5 mini,Teste 3,Erros Encontrados,4
GPT 5 mini,Teste 3,Testes Redundantes,4
GPT 5 mini,Teste 3,Testes Incorretos,0
GPT 5 mini,Teste 3,Quebras de Regras,7
GPT 5 mini,Teste 3,Testes,13
GPT 5 mini,Teste 3,Erros Encontrados,4
GPT 5 mini,Teste 3,Testes Redundantes,4
GPT 5 mini,Teste 3,Testes Incorretos,0
GPT 5 mini,Teste 3,Quebras de Regras,7
GPT 5 mini,Teste 4,Testes,20
GPT 5 mini,Teste 4,Erros Encontrados,8
GPT 5 mini,Teste 4,Testes Redundantes,3
GPT 5 mini,Teste 4,Testes Incorretos,5
GPT 5 mini,Teste 4,Quebras de Regras,6
GPT 5 mini,Teste 4,Testes,23
GPT 5 mini,Teste 4,Erros Encontrados,8
GPT 5 mini,Teste 4,Testes Redundantes,4
GPT 5 mini,Teste 4,Testes Incorretos,6
GPT 5 mini,Teste 4,Quebras de Regras,7
GPT 5 mini,Teste 4,Testes,21
GPT 5 mini,Teste 4,Erros Encontrados,8
GPT 5 mini,Teste 4,Testes Redundantes,3
GPT 5 mini,Teste 4,Testes Incorretos,5
GPT 5 mini,Teste 4,Quebras de Regras,6
GPT 5 mini,Teste 4,Testes,24
GPT 5 mini,Teste 4,Erros Encontrados,8
GPT 5 mini,Teste 4,Testes Redundantes,4
GPT 5 mini,Teste 4,Testes Incorretos,6
GPT 5 mini,Teste 4,Quebras de Regras,7
GPT 5 mini,Teste 4,Testes,23
GPT 5 mini,Teste 4,Erros Encontrados,8
GPT 5 mini,Teste 4,Testes Redundantes,4
GPT 5 mini,Teste 4,Testes Incorretos,6
GPT 5 mini,Teste 4,Quebras de Regras,7
GPT 5.2,Teste 1,Testes,9
GPT 5.2,Teste 1,Erros Encontrados,6
GPT 5.2,Teste 1,Testes Redundantes,0
GPT 5.2,Teste 1,Testes Incorretos,1
GPT 5.2,Teste 1,Quebras de Regras,4
GPT 5.2,Teste 1,Testes,11
GPT 5.2,Teste 1,Erros Encontrados,6
GPT 5.2,Teste 1,Testes Redundantes,1
GPT 5.2,Teste 1,Testes Incorretos,0
GPT 5.2,Teste 1,Quebras de Regras,4
GPT 5.2,Teste 1,Testes,13
GPT 5.2,Teste 1,Erros Encontrados,6
GPT 5.2,Teste 1,Testes Redundantes,4
GPT 5.2,Teste 1,Testes Incorretos,0
GPT 5.2,Teste 1,Quebras de Regras,4
GPT 5.2,Teste 1,Testes,13
GPT 5.2,Teste 1,Erros Encontrados,5
GPT 5.2,Teste 1,Testes Redundantes,4
GPT 5.2,Teste 1,Testes Incorretos,0
GPT 5.2,Teste 1,Quebras de Regras,4
GPT 5.2,Teste 1,Testes,12
GPT 5.2,Teste 1,Erros Encontrados,5
GPT 5.2,Teste 1,Testes Redundantes,3
GPT 5.2,Teste 1,Testes Incorretos,0
GPT 5.2,Teste 1,Quebras de Regras,4
GPT 5.2,Teste 2,Testes,16
GPT 5.2,Teste 2,Erros Encontrados,4
GPT 5.2,Teste 2,Testes Redundantes,3
GPT 5.2,Teste 2,Testes Incorretos,0
GPT 5.2,Teste 2,Quebras de Regras,0
GPT 5.2,Teste 2,Testes,16
GPT 5.2,Teste 2,Erros Encontrados,4
GPT 5.2,Teste 2,Testes Redundantes,2
GPT 5.2,Teste 2,Testes Incorretos,0
GPT 5.2,Teste 2,Quebras de Regras,0
GPT 5.2,Teste 2,Testes,15
GPT 5.2,Teste 2,Erros Encontrados,4
GPT 5.2,Teste 2,Testes Redundantes,2
GPT 5.2,Teste 2,Testes Incorretos,0
GPT 5.2,Teste 2,Quebras de Regras,0
GPT 5.2,Teste 2,Testes,19
GPT 5.2,Teste 2,Erros Encontrados,4
GPT 5.2,Teste 2,Testes Redundantes,4
GPT 5.2,Teste 2,Testes Incorretos,0
GPT 5.2,Teste 2,Quebras de Regras,0
GPT 5.2,Teste 2,Testes,15
GPT 5.2,Teste 2,Erros Encontrados,4
GPT 5.2,Teste 2,Testes Redundantes,2
GPT 5.2,Teste 2,Testes Incorretos,0
GPT 5.2,Teste 2,Quebras de Regras,0
GPT 5.2,Teste 3,Testes,15
GPT 5.2,Teste 3,Erros Encontrados,4
GPT 5.2,Teste 3,Testes Redundantes,5
GPT 5.2,Teste 3,Testes Incorretos,0
GPT 5.2,Teste 3,Quebras de Regras,9
GPT 5.2,Teste 3,Testes,17
GPT 5.2,Teste 3,Erros Encontrados,4
GPT 5.2,Teste 3,Testes Redundantes,6
GPT 5.2,Teste 3,Testes Incorretos,0
GPT 5.2,Teste 3,Quebras de Regras,10
GPT 5.2,Teste 3,Testes,12
GPT 5.2,Teste 3,Erros Encontrados,4
GPT 5.2,Teste 3,Testes Redundantes,4
GPT 5.2,Teste 3,Testes Incorretos,0
GPT 5.2,Teste 3,Quebras de Regras,8
GPT 5.2,Teste 3,Testes,15
GPT 5.2,Teste 3,Erros Encontrados,4
GPT 5.2,Teste 3,Testes Redundantes,5
GPT 5.2,Teste 3,Testes Incorretos,0
GPT 5.2,Teste 3,Quebras de Regras,9
GPT 5.2,Teste 3,Testes,14
GPT 5.2,Teste 3,Erros Encontrados,4
GPT 5.2,Teste 3,Testes Redundantes,5
GPT 5.2,Teste 3,Testes Incorretos,0
GPT 5.2,Teste 3,Quebras de Regras,9
GPT 5.2,Teste 4,Testes,28
GPT 5.2,Teste 4,Erros Encontrados,9
GPT 5.2,Teste 4,Testes Redundantes,5
GPT 5.2,Teste 4,Testes Incorretos,7
GPT 5.2,Teste 4,Quebras de Regras,8
GPT 5.2,Teste 4,Testes,30
GPT 5.2,Teste 4,Erros Encontrados,9
GPT 5.2,Teste 4,Testes Redundantes,6
GPT 5.2,Teste 4,Testes Incorretos,8
GPT 5.2,Teste 4,Quebras de Regras,11
GPT 5.2,Teste 4,Testes,34
GPT 5.2,Teste 4,Erros Encontrados,9
GPT 5.2,Teste 4,Testes Redundantes,4
GPT 5.2,Teste 4,Testes Incorretos,2
GPT 5.2,Teste 4,Quebras de Regras,12
GPT 5.2,Teste 4,Testes,34
GPT 5.2,Teste 4,Erros Encontrados,8
GPT 5.2,Teste 4,Testes Redundantes,6
GPT 5.2,Teste 4,Testes Incorretos,3
GPT 5.2,Teste 4,Quebras de Regras,15
GPT 5.2,Teste 4,Testes,27
GPT 5.2,Teste 4,Erros Encontrados,9
GPT 5.2,Teste 4,Testes Redundantes,4
GPT 5.2,Teste 4,Testes Incorretos,2
GPT 5.2,Teste 4,Quebras de Regras,18
Gemini 3 Flash,Teste 1,Testes,10
Gemini 3 Flash,Teste 1,Erros Encontrados,5
Gemini 3 Flash,Teste 1,Testes Redundantes,1
Gemini 3 Flash,Teste 1,Testes Incorretos,0
Gemini 3 Flash,Teste 1,Quebras de Regras,4
Gemini 3 Flash,Teste 1,Testes,9
Gemini 3 Flash,Teste 1,Erros Encontrados,5
Gemini 3 Flash,Teste 1,Testes Redundantes,1
Gemini 3 Flash,Teste 1,Testes Incorretos,0
Gemini 3 Flash,Teste 1,Quebras de Regras,4
Gemini 3 Flash,Teste 1,Testes,10
Gemini 3 Flash,Teste 1,Erros Encontrados,5
Gemini 3 Flash,Teste 1,Testes Redundantes,1
Gemini 3 Flash,Teste 1,Testes Incorretos,0
Gemini 3 Flash,Teste 1,Quebras de Regras,4
Gemini 3 Flash,Teste 1,Testes,9
Gemini 3 Flash,Teste 1,Erros Encontrados,4
Gemini 3 Flash,Teste 1,Testes Redundantes,0
Gemini 3 Flash,Teste 1,Testes Incorretos,0
Gemini 3 Flash,Teste 1,Quebras de Regras,5
Gemini 3 Flash,Teste 1,Testes,9
Gemini 3 Flash,Teste 1,Erros Encontrados,4
Gemini 3 Flash,Teste 1,Testes Redundantes,0
Gemini 3 Flash,Teste 1,Testes Incorretos,0
Gemini 3 Flash,Teste 1,Quebras de Regras,5
Gemini 3 Flash,Teste 2,Testes,17
Gemini 3 Flash,Teste 2,Erros Encontrados,4
Gemini 3 Flash,Teste 2,Testes Redundantes,3
Gemini 3 Flash,Teste 2,Testes Incorretos,0
Gemini 3 Flash,Teste 2,Quebras de Regras,0
Gemini 3 Flash,Teste 2,Testes,17
Gemini 3 Flash,Teste 2,Erros Encontrados,4
Gemini 3 Flash,Teste 2,Testes Redundantes,5
Gemini 3 Flash,Teste 2,Testes Incorretos,0
Gemini 3 Flash,Teste 2,Quebras de Regras,0
Gemini 3 Flash,Teste 2,Testes,18
Gemini 3 Flash,Teste 2,Erros Encontrados,4
Gemini 3 Flash,Teste 2,Testes Redundantes,4
Gemini 3 Flash,Teste 2,Testes Incorretos,0
Gemini 3 Flash,Teste 2,Quebras de Regras,0
Gemini 3 Flash,Teste 2,Testes,19
Gemini 3 Flash,Teste 2,Erros Encontrados,4
Gemini 3 Flash,Teste 2,Testes Redundantes,5
Gemini 3 Flash,Teste 2,Testes Incorretos,0
Gemini 3 Flash,Teste 2,Quebras de Regras,0
Gemini 3 Flash,Teste 2,Testes,13
Gemini 3 Flash,Teste 2,Erros Encontrados,3
Gemini 3 Flash,Teste 2,Testes Redundantes,1
Gemini 3 Flash,Teste 2,Testes Incorretos,1
Gemini 3 Flash,Teste 2,Quebras de Regras,1
Gemini 3 Flash,Teste 3,Testes,8
Gemini 3 Flash,Teste 3,Erros Encontrados,4
Gemini 3 Flash,Teste 3,Testes Redundantes,3
Gemini 3 Flash,Teste 3,Testes Incorretos,0
Gemini 3 Flash,Teste 3,Quebras de Regras,5
Gemini 3 Flash,Teste 3,Testes,11
Gemini 3 Flash,Teste 3,Erros Encontrados,4
Gemini 3 Flash,Teste 3,Testes Redundantes,3
Gemini 3 Flash,Teste 3,Testes Incorretos,8
Gemini 3 Flash,Teste 3,Quebras de Regras,1
Gemini 3 Flash,Teste 3,Testes,11
Gemini 3 Flash,Teste 3,Erros Encontrados,4
Gemini 3 Flash,Teste 3,Testes Redundantes,3
Gemini 3 Flash,Teste 3,Testes Incorretos,8
Gemini 3 Flash,Teste 3,Quebras de Regras,1
Gemini 3 Flash,Teste 3,Testes,9
Gemini 3 Flash,Teste 3,Erros Encontrados,4
Gemini 3 Flash,Teste 3,Testes Redundantes,1
Gemini 3 Flash,Teste 3,Testes Incorretos,1
Gemini 3 Flash,Teste 3,Quebras de Regras,0
Gemini 3 Flash,Teste 3,Testes,10
Gemini 3 Flash,Teste 3,Erros Encontrados,4
Gemini 3 Flash,Teste 3,Testes Redundantes,3
Gemini 3 Flash,Teste 3,Testes Incorretos,1
Gemini 3 Flash,Teste 3,Quebras de Regras,0
Gemini 3 Flash,Teste 4,Testes,18
Gemini 3 Flash,Teste 4,Erros Encontrados,9
Gemini 3 Flash,Teste 4,Testes Redundantes,3
Gemini 3 Flash,Teste 4,Testes Incorretos,3
Gemini 3 Flash,Teste 4,Quebras de Regras,12
Gemini 3 Flash,Teste 4,Testes,20
Gemini 3 Flash,Teste 4,Erros Encontrados,9
Gemini 3 Flash,Teste 4,Testes Redundantes,2
Gemini 3 Flash,Teste 4,Testes Incorretos,3
Gemini 3 Flash,Teste 4,Quebras de Regras,14
Gemini 3 Flash,Teste 4,Testes,38
Gemini 3 Flash,Teste 4,Erros Encontrados,9
Gemini 3 Flash,Teste 4,Testes Redundantes,5
Gemini 3 Flash,Teste 4,Testes Incorretos,3
Gemini 3 Flash,Teste 4,Quebras de Regras,14
Gemini 3 Flash,Teste 4,Testes,34
Gemini 3 Flash,Teste 4,Erros Encontrados,9
Gemini 3 Flash,Teste 4,Testes Redundantes,6
Gemini 3 Flash,Teste 4,Testes Incorretos,3
Gemini 3 Flash,Teste 4,Quebras de Regras,15
Gemini 3 Flash,Teste 4,Testes,16
Gemini 3 Flash,Teste 4,Erros Encontrados,9
Gemini 3 Flash,Teste 4,Testes Redundantes,2
Gemini 3 Flash,Teste 4,Testes Incorretos,1
Gemini 3 Flash,Teste 4,Quebras de Regras,10
Gemini 3 Pro,Teste 1,Testes,9
Gemini 3 Pro,Teste 1,Erros Encontrados,4
Gemini 3 Pro,Teste 1,Testes Redundantes,0
Gemini 3 Pro,Teste 1,Testes Incorretos,0
Gemini 3 Pro,Teste 1,Quebras de Regras,5
Gemini 3 Pro,Teste 1,Testes,8
Gemini 3 Pro,Teste 1,Erros Encontrados,4
Gemini 3 Pro,Teste 1,Testes Redundantes,0
Gemini 3 Pro,Teste 1,Testes Incorretos,0
Gemini 3 Pro,Teste 1,Quebras de Regras,4
Gemini 3 Pro,Teste 1,Testes,9
Gemini 3 Pro,Teste 1,Erros Encontrados,4
Gemini 3 Pro,Teste 1,Testes Redundantes,0
Gemini 3 Pro,Teste 1,Testes Incorretos,0
Gemini 3 Pro,Teste 1,Quebras de Regras,4
Gemini 3 Pro,Teste 1,Testes,12
Gemini 3 Pro,Teste 1,Erros Encontrados,4
Gemini 3 Pro,Teste 1,Testes Redundantes,1
Gemini 3 Pro,Teste 1,Testes Incorretos,0
Gemini 3 Pro,Teste 1,Quebras de Regras,6
Gemini 3 Pro,Teste 1,Testes,8
Gemini 3 Pro,Teste 1,Erros Encontrados,4
Gemini 3 Pro,Teste 1,Testes Redundantes,0
Gemini 3 Pro,Teste 1,Testes Incorretos,1
Gemini 3 Pro,Teste 1,Quebras de Regras,4
Gemini 3 Pro,Teste 2,Testes,18
Gemini 3 Pro,Teste 2,Erros Encontrados,4
Gemini 3 Pro,Teste 2,Testes Redundantes,2
Gemini 3 Pro,Teste 2,Testes Incorretos,1
Gemini 3 Pro,Teste 2,Quebras de Regras,1
Gemini 3 Pro,Teste 2,Testes,14
Gemini 3 Pro,Teste 2,Erros Encontrados,3
Gemini 3 Pro,Teste 2,Testes Redundantes,2
Gemini 3 Pro,Teste 2,Testes Incorretos,1
Gemini 3 Pro,Teste 2,Quebras de Regras,1
Gemini 3 Pro,Teste 2,Testes,11
Gemini 3 Pro,Teste 2,Erros Encontrados,3
Gemini 3 Pro,Teste 2,Testes Redundantes,1
Gemini 3 Pro,Teste 2,Testes Incorretos,1
Gemini 3 Pro,Teste 2,Quebras de Regras,1
Gemini 3 Pro,Teste 2,Testes,10
Gemini 3 Pro,Teste 2,Erros Encontrados,3
Gemini 3 Pro,Teste 2,Testes Redundantes,1
Gemini 3 Pro,Teste 2,Testes Incorretos,1
Gemini 3 Pro,Teste 2,Quebras de Regras,1
Gemini 3 Pro,Teste 2,Testes,13
Gemini 3 Pro,Teste 2,Erros Encontrados,3
Gemini 3 Pro,Teste 2,Testes Redundantes,1
Gemini 3 Pro,Teste 2,Testes Incorretos,1
Gemini 3 Pro,Teste 2,Quebras de Regras,1
Gemini 3 Pro,Teste 3,Testes,9
Gemini 3 Pro,Teste 3,Erros Encontrados,4
Gemini 3 Pro,Teste 3,Testes Redundantes,1
Gemini 3 Pro,Teste 3,Testes Incorretos,1
Gemini 3 Pro,Teste 3,Quebras de Regras,0
Gemini 3 Pro,Teste 3,Testes,11
Gemini 3 Pro,Teste 3,Erros Encontrados,4
Gemini 3 Pro,Teste 3,Testes Redundantes,3
Gemini 3 Pro,Teste 3,Testes Incorretos,8
Gemini 3 Pro,Teste 3,Quebras de Regras,0
Gemini 3 Pro,Teste 3,Testes,11
Gemini 3 Pro,Teste 3,Erros Encontrados,4
Gemini 3 Pro,Teste 3,Testes Redundantes,1
Gemini 3 Pro,Teste 3,Testes Incorretos,1
Gemini 3 Pro,Teste 3,Quebras de Regras,0
Gemini 3 Pro,Teste 3,Testes,9
Gemini 3 Pro,Teste 3,Erros Encontrados,4
Gemini 3 Pro,Teste 3,Testes Redundantes,1
Gemini 3 Pro,Teste 3,Testes Incorretos,1
Gemini 3 Pro,Teste 3,Quebras de Regras,0
Gemini 3 Pro,Teste 3,Testes,7
Gemini 3 Pro,Teste 3,Erros Encontrados,4
Gemini 3 Pro,Teste 3,Testes Redundantes,0
Gemini 3 Pro,Teste 3,Testes Incorretos,1
Gemini 3 Pro,Teste 3,Quebras de Regras,0
Gemini 3 Pro,Teste 4,Testes,26
Gemini 3 Pro,Teste 4,Erros Encontrados,9
Gemini 3 Pro,Teste 4,Testes Redundantes,4
Gemini 3 Pro,Teste 4,Testes Incorretos,2
Gemini 3 Pro,Teste 4,Quebras de Regras,12
Gemini 3 Pro,Teste 4,Testes,32
Gemini 3 Pro,Teste 4,Erros Encontrados,9
Gemini 3 Pro,Teste 4,Testes Redundantes,4
Gemini 3 Pro,Teste 4,Testes Incorretos,2
Gemini 3 Pro,Teste 4,Quebras de Regras,14
Gemini 3 Pro,Teste 4,Testes,38
Gemini 3 Pro,Teste 4,Erros Encontrados,9
Gemini 3 Pro,Teste 4,Testes Redundantes,5
Gemini 3 Pro,Teste 4,Testes Incorretos,3
Gemini 3 Pro,Teste 4,Quebras de Regras,18
Gemini 3 Pro,Teste 4,Testes,34
Gemini 3 Pro,Teste 4,Erros Encontrados,9
Gemini 3 Pro,Teste 4,Testes Redundantes,6
Gemini 3 Pro,Teste 4,Testes Incorretos,3
Gemini 3 Pro,Teste 4,Quebras de Regras,8
Gemini 3 Pro,Teste 4,Testes,20
Gemini 3 Pro,Teste 4,Erros Encontrados,3
Gemini 3 Pro,Teste 4,Testes Redundantes,3
Gemini 3 Pro,Teste 4,Testes Incorretos,1
Gemini 3 Pro,Teste 4,Quebras de Regras,0
"Claude Opus 4.5",Teste 1,Testes,29
"Claude Opus 4.5",Teste 1,Erros Encontrados,4
"Claude Opus 4.5",Teste 1,Testes Redundantes,5
"Claude Opus 4.5",Teste 1,Testes Incorretos,1
"Claude Opus 4.5",Teste 1,Quebras de Regras,15
"Claude Opus 4.5",Teste 1,Testes,24
"Claude Opus 4.5",Teste 1,Erros Encontrados,4
"Claude Opus 4.5",Teste 1,Testes Redundantes,6
"Claude Opus 4.5",Teste 1,Testes Incorretos,1
"Claude Opus 4.5",Teste 1,Quebras de Regras,12
"Claude Opus 4.5",Teste 1,Testes,28
"Claude Opus 4.5",Teste 1,Erros Encontrados,4
"Claude Opus 4.5",Teste 1,Testes Redundantes,4
"Claude Opus 4.5",Teste 1,Testes Incorretos,1
"Claude Opus 4.5",Teste 1,Quebras de Regras,14
"Claude Opus 4.5",Teste 1,Testes,16
"Claude Opus 4.5",Teste 1,Erros Encontrados,4
"Claude Opus 4.5",Teste 1,Testes Redundantes,1
"Claude Opus 4.5",Teste 1,Testes Incorretos,0
"Claude Opus 4.5",Teste 1,Quebras de Regras,6
"Claude Opus 4.5",Teste 1,Testes,31
"Claude Opus 4.5",Teste 1,Erros Encontrados,4
"Claude Opus 4.5",Teste 1,Testes Redundantes,4
"Claude Opus 4.5",Teste 1,Testes Incorretos,0
"Claude Opus 4.5",Teste 1,Quebras de Regras,15
"Claude Opus 4.5",Teste 2,Testes,22
"Claude Opus 4.5",Teste 2,Erros Encontrados,4
"Claude Opus 4.5",Teste 2,Testes Redundantes,3
"Claude Opus 4.5",Teste 2,Testes Incorretos,1
"Claude Opus 4.5",Teste 2,Quebras de Regras,2
"Claude Opus 4.5",Teste 2,Testes,18
"Claude Opus 4.5",Teste 2,Erros Encontrados,3
"Claude Opus 4.5",Teste 2,Testes Redundantes,4
"Claude Opus 4.5",Teste 2,Testes Incorretos,1
"Claude Opus 4.5",Teste 2,Quebras de Regras,2
"Claude Opus 4.5",Teste 2,Testes,11
"Claude Opus 4.5",Teste 2,Erros Encontrados,3
"Claude Opus 4.5",Teste 2,Testes Redundantes,1
"Claude Opus 4.5",Teste 2,Testes Incorretos,1
"Claude Opus 4.5",Teste 2,Quebras de Regras,1
"Claude Opus 4.5",Teste 2,Testes,17
"Claude Opus 4.5",Teste 2,Erros Encontrados,3
"Claude Opus 4.5",Teste 2,Testes Redundantes,4
"Claude Opus 4.5",Teste 2,Testes Incorretos,1
"Claude Opus 4.5",Teste 2,Quebras de Regras,1
"Claude Opus 4.5",Teste 2,Testes,15
"Claude Opus 4.5",Teste 2,Erros Encontrados,3
"Claude Opus 4.5",Teste 2,Testes Redundantes,3
"Claude Opus 4.5",Teste 2,Testes Incorretos,1
"Claude Opus 4.5",Teste 2,Quebras de Regras,1
"Claude Opus 4.5",Teste 3,Testes,29
"Claude Opus 4.5",Teste 3,Erros Encontrados,4
"Claude Opus 4.5",Teste 3,Testes Redundantes,12
"Claude Opus 4.5",Teste 3,Testes Incorretos,0
"Claude Opus 4.5",Teste 3,Quebras de Regras,0
"Claude Opus 4.5",Teste 3,Testes,24
"Claude Opus 4.5",Teste 3,Erros Encontrados,4
"Claude Opus 4.5",Teste 3,Testes Redundantes,8
"Claude Opus 4.5",Teste 3,Testes Incorretos,1
"Claude Opus 4.5",Teste 3,Quebras de Regras,0
"Claude Opus 4.5",Teste 3,Testes,28
"Claude Opus 4.5",Teste 3,Erros Encontrados,4
"Claude Opus 4.5",Teste 3,Testes Redundantes,4
"Claude Opus 4.5",Teste 3,Testes Incorretos,28
"Claude Opus 4.5",Teste 3,Quebras de Regras,4
"Claude Opus 4.5",Teste 3,Testes,27
"Claude Opus 4.5",Teste 3,Erros Encontrados,4
"Claude Opus 4.5",Teste 3,Testes Redundantes,5
"Claude Opus 4.5",Teste 3,Testes Incorretos,27
"Claude Opus 4.5",Teste 3,Quebras de Regras,4
"Claude Opus 4.5",Teste 3,Testes,31
"Claude Opus 4.5",Teste 3,Erros Encontrados,4
"Claude Opus 4.5",Teste 3,Testes Redundantes,8
"Claude Opus 4.5",Teste 3,Testes Incorretos,31
"Claude Opus 4.5",Teste 3,Quebras de Regras,4
"Claude Opus 4.5",Teste 4,Testes,24
"Claude Opus 4.5",Teste 4,Erros Encontrados,7
"Claude Opus 4.5",Teste 4,Testes Redundantes,4
"Claude Opus 4.5",Teste 4,Testes Incorretos,2
"Claude Opus 4.5",Teste 4,Quebras de Regras,0
"Claude Opus 4.5",Teste 4,Testes,75
"Claude Opus 4.5",Teste 4,Erros Encontrados,8
"Claude Opus 4.5",Teste 4,Testes Redundantes,12
"Claude Opus 4.5",Teste 4,Testes Incorretos,3
"Claude Opus 4.5",Teste 4,Quebras de Regras,0
"Claude Opus 4.5",Teste 4,Testes,30
"Claude Opus 4.5",Teste 4,Erros Encontrados,9
"Claude Opus 4.5",Teste 4,Testes Redundantes,4
"Claude Opus 4.5",Teste 4,Testes Incorretos,2
"Claude Opus 4.5",Teste 4,Quebras de Regras,0
"Claude Opus 4.5",Teste 4,Testes,32
"Claude Opus 4.5",Teste 4,Erros Encontrados,9
"Claude Opus 4.5",Teste 4,Testes Redundantes,5
"Claude Opus 4.5",Teste 4,Testes Incorretos,2
"Claude Opus 4.5",Teste 4,Quebras de Regras,0
"Claude Opus 4.5",Teste 4,Testes,25
"Claude Opus 4.5",Teste 4,Erros Encontrados,9
"Claude Opus 4.5",Teste 4,Testes Redundantes,3
"Claude Opus 4.5",Teste 4,Testes Incorretos,1
"Claude Opus 4.5",Teste 4,Quebras de Regras,0
